Route Number,ETA,Distance,Route,Time
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:31 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:31 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:37 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:37 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:42 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:42 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:46 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:46 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:51 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:51 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:06:55 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:06:55 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:07:00 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:07:00 2018
1,24 min,21.1 mi,Via I-15 S,Mon Aug 13 11:07:05 2018
2,26 min,21.4 mi,"Via I-15 S, Old Highway 395",Mon Aug 13 11:07:05 2018
